,Publication
6671,"Hooi, T.L., et al. 2009. ""Numerical investigation of condensate banking in the North Kuwait jurassic gas condensate reservoirs"" , Society of Petroleum Engineers - Kuwait International Petroleum Conference and Exhibition, KIPCE 2009: Meeting Energy Demand for Long Term Economic Growth(250-263)"
6672,"Ghorayeb, K., et al. 2009. ""Ensuring water saturation consistency between static (fine-grid) and dynamic (upscaled) models - A case study of the North Kuwait jurassic complex"" , Society of Petroleum Engineers - SPE/EAGE Reservoir Characterization and Simulation Conference 2009 - Overcoming Modeling Challenges to Optimize Recovery(845-851)"
6673,"Chakraborty, S.K., et al. 2009. ""3D geological modeling of a tight naturally fractured carbonate reservoir as an input to reservoir simulation - A case study from North Kuwait Jurassic fields"" , Society of Petroleum Engineers - Kuwait International Petroleum Conference and Exhibition, KIPCE 2009: Meeting Energy Demand for Long Term Economic Growth(460-468)"
6674,"Limsukhon, M., et al. 2009. ""Calibration of DFN model with well test data - A case study of the North Kuwait jurassic complex"" , Society of Petroleum Engineers - SPE/EAGE Reservoir Characterization and Simulation Conference 2009 - Overcoming Modeling Challenges to Optimize Recovery(823-830)"
6675,"Ghorayeb, K., et al. 2009. ""Black oil delumping: Running black oil reservoir simulations and getting compositional wellstreams in the north Kuwait Jurassic complex"" , SPE Reservoir Simulation Symposium Proceedings(209-217)"
6676,"Ghorayeb, K., et al. 2008. ""Multiple reservoir simulations integration: An alternative to full field simulation in the North Kuwait Jurassic Complex"" , Proceedings - SPE Annual Technical Conference and Exhibition(2472-2480)"
6677,"Güyagüler, B. and Ghorayeb, K. 2006. ""Integrated optimization of field development, planning, and operation"" , Proceedings - SPE Annual Technical Conference and Exhibition(2373-2385)"
6678,"Ghorayeb, K. and Holmes, J. 2005. ""Black oil delumping"" , Proceedings - SPE Annual Technical Conference and Exhibition(2971-2983)"
6679,"Ghorayeb, K., Holmes, J., and Torrens, R. 2005. ""Field planning using integrated surface/subsurface modeling"" , SPE Middle East Oil and Gas Show and Conference, MEOS, Proceedings(55-63)"
6680,"Ghorayeb, K., Firoozabadi, A., and Anraku, T. 2002. ""Modeling of the Unusual GOR Performance in a Fractured Gas-Condensate Reservoir"" , Proceedings - SPE Symposium on Improved Oil Recovery(1172-1185)"
6681,"Ghorayeb, K., Anraku, T., and Firoozabadi, A. 2000. ""Interpretation of the fluid distribution and GOR behavior in the Yufutsu fractured gas-condensate field"" , Proceedings of the SPE Asia Pacific Conference on Integrated Modelling for Asset Management(323-338)'"
6682,"Azizi, F. and Al Taweel, A.M. 2007. ""Population balance simulation of gas-liquid contacting"" , Chemical Engineering Science, vol.62, no.24, pp-7436-7445"
6683,"Al Taweel, A.M., et al. 2005. ""Using in-line static mixers to intensify gas-liquid mass transfer processes"" , Chemical Engineering Science, vol.60, no.22, pp-6378-6390"
6684,"Azizi, F., et al. 2004. ""Tools for the Design of Multiphase Processing Operations"" , Canadian Design Engineering Network, proceedings of the Canadian Engineering Education Association"
6685,"Azizi, F., et al. 2003. ""In-Line Processing for Intensifying Multi-Phase Contacting Operations"" , 5th Inter. Conf. Process Intensification"
6686,"Birjawi GA, Nassar LJ, Atweh LA, Akel S, Haddad MC. 2009. ""Emergency abdominal radiology: the acute abdomen."" , Le Journal médical libanais. The Lebanese medical journal, vol.57, no.3, pp-178-212"
6687,"Hourani MH, Nassar L, Haydar M, Hourany-Rizk RG. 2009. ""Imaging in oncology."" , Le Journal medical libanais. The Lebanese medical journal, vol.57, no.3, pp-156-66"
6688,"Mohamad HAIDAR, et al. ""18F-FDG PET-CT in the management of differentiated thyroid cancer"" , Congres d\'Oncologie du Moyen Orient, 2009"
6689,"Mohamad HAIDAR, et al. ""Role of FDG-PET/CT in treated HODGKIN Disease with residual masses"" , Congres d\' Oncologie du Moyen Orient, 2009"
6690,"Miguel R. Abboud MD, et al. ""Pulmonary nodules in patients with osteosarcoma: radiologic predictors of metastasis. "" , SIOP (International Society of Pediatric Oncology), Berlin, Germany, 2008"
6691,"Hourani R, et al. ""Multiple radiologic patterns of fibrous tumors of the head and neck"" , American Society of Neuroradiology 46th annual meeting, New Orleans, USA, 2008"
6692,"Atweh L, et al. ""Imaging of central nervous system parasitic diseases."" , American Society of Neuroradiology 46th annual meeting, New Orleans, USA, 2008"
6693,"Mohamad HAIDAR, et al. 2009. ""18F-FDG PET-CT in the management of differentiated thyroid cancer"" , Congres d\'Oncologie du Moyen Orient"
6694,"Mohamad HAIDAR, et al. 2009. ""Role of FDG-PET/CT in treated HODGKIN Disease with residual masses"" , Congres d\' Oncologie du Moyen Orient"
6695,"Hourani R, et al. 2008. ""Multiple radiologic patterns of fibrous tumors of the head and neck"" , American Society of Neuroradiology 46th annual meeting"
6696,"Miguel R. Abboud MD, et al. 2008. ""Pulmonary nodules in patients with osteosarcoma: radiologic predictors of metastasis. "" , SIOP (International Society of Pediatric Oncology)"
6697,"Atweh L, et al. 2008. ""Imaging of central nervous system parasitic diseases."" , American Society of Neuroradiology 46th annual meeting'"
6698,"Vaillancourt C, Lanoix D, Le Bellego F, Daoud G, Lafond J. 2009. ""Involvement of MAPK signalling in human villous trophoblast differentiation."" , Mini reviews in medicinal chemistry, vol.9, no.8, pp-962-73"
6699,"Daoud G, Le bellego F, Lafond J. 2008. ""PP2 regulates human trophoblast cells differentiation by activating p38 and ERK1/2 and inhibiting FAK activation."" , Placenta, vol.29, no.10, pp-862-70"
6700,"Daoud G, Rassart E, Masse A, Lafond J. 2006. ""Src family kinases play multiple roles in differentiation of trophoblasts from human term placenta."" , The Journal of physiology, vol.571, no.Pt 3, pp-537-53"
6701,"Daoud G, Amyot M, Rassart E, Masse A, Simoneau L, Lafond J. 2005. ""ERK1/2 and p38 regulate trophoblasts differentiation in human term placenta."" , The Journal of physiology, vol.566, no.Pt 2, pp-409-23"
6702,"Knöfler M, Sooranna SR, Daoud G, Whitley GS, Markert UR, Xia Y, Cantiello H, Hauguel-de Mouzon S. 2005. ""Trophoblast signalling: knowns and unknowns--a workshop report."" , Placenta, vol.26 Suppl A, pp-S49-51"
6703,"Daoud G, Simoneau L, Masse A, Rassart E, Lafond J. 2005. ""Expression of cFABP and PPAR in trophoblast cells: effect of PPAR ligands on linoleic acid uptake and differentiation."" , Biochimica et biophysica acta, vol.1687, no.1-3, pp-181-94"
6704,"Bernatchez R, Belkacemi L, Rassart E, Daoud G, Simoneau L, Lafond J. 2003. ""Differential expression of membrane and soluble adenylyl cyclase isoforms in cytotrophoblast cells and syncytiotrophoblasts of human placenta."" , Placenta, vol.24, no.6, pp-648-57"
6705,"Moreau R, Daoud G, Masse A, Simoneau L, Lafond J. 2003. ""Expression and role of calcium-ATPase pump and sodium-calcium exchanger in differentiated trophoblasts from human term placenta."" , Molecular reproduction and development, vol.65, no.3, pp-283-8"
6706,"Moreau R, Hamel A, Daoud G, Simoneau L, Lafond J. 2002. ""Expression of calcium channels along the differentiation of cultured trophoblast cells from human term placenta."" , Biology of reproduction, vol.67, no.5, pp-1473-9"
6707,"Moreau R, Daoud G, Bernatchez R, Simoneau L, Masse A, Lafond J. 2002. ""Calcium uptake and calcium transporter expression by trophoblast cells from human term placenta."" , Biochimica et biophysica acta, vol.1564, no.2, pp-325-32"
6708,"Knöfler, M., et al. 2005. ""Trophoblast signalling: knowns and unknowns--a workshop report."" , Placenta'"
6709,"Khoury, H N., et al. 2008. ""Mineral Polymerization of Some Industrial Rocks and Minerals in Jordan"" , Publications of Deanship of Academic Research University of Jordan"
6710,"Rawajfeh, K M. and Mubarak, Y. 2001. ""Study of the Effect of Some Parameters Influencing the Removal of Iron from Feldspar Found in the South of Jordan Using Hydrochloric Acid"" , Dirasat, Engineering Sciences, vol.28, no.1, 24-35"
6711,"Mubarak, Y., et al. 2001. ""Modeling of non-isothermal crystallization kinetics of isotactic polypropylene"" , Polymer, vol.42, no.7, pp-3171-3182"
6712,"Mubarak, Y., Martin, P.J., and Harkin-Jones, E. 2000. ""Effect of nucleating agents and pigments on crystallisation, morphology, and mechanical properties of polypropylene"" , Plastics, Rubber and Composites Processing and Applications, vol.29, no.7, pp-307-315"
6713,"Maring, P M., et al. 1999. ""Developments in Thermoforming Research"" , Polymer Process Engineering , vol.99, 204-214"
6714,"Allan, P S., et al. 2002. ""Multicomponent Laminate Molding (MLM)"" , 60th SPE ANTEC, USA"
6715,"Hornsby, P., et al. 2002. ""An Evaluation of Heat Management in Injection Mould Tools"" , 60th SPE ANTEC, USA"
6716,"Mubarak, Y., Harkin-Jones, E., and Martin, P J. 2000. ""Crystallization of Isotactic Polypropylene: Comparison Between \uf061 and \uf062 Growth Rates"" , 58th SPE ANTEC, USA"
6717,"Mubarak, Y., Harkin-Jones, E., and Martin, P J. 2000. ""Crystallization and Ageing Behaviour of Extruded Isotactic Polypropylene"" , European Conference on Macromolecular Physics 241(39-40), Portugal"
6718,"Mubarak, Y., et al. 1999. ""Crystallization of Isotactic Polypropylene: Pigment, Nucleating Agent and Recycling Effects"" , 57th SPE ANTEC, USA"
6719,"Mubarak, Y., et al. 1999. ""Crystallization Kinetics of Isotactic Polypropylene: Pigment, Nucleating Agent and Recycling Effects""'"
6720,"Zeeni C, Hemmer LB, Gupta DK, Koht A. 2009. ""Determining the remifentanil dose-response relationship during craniotomies: the importance of intensity of the stimulus at the time of pharmacodynamic evaluation."" , Journal of neurosurgical anesthesiology, vol.21, no.2, pp-179"
6721,"Haddad F, Zeeni C, El Rassi I, Yazigi A, Madi-Jebara S, Hayeck G, Jebara V, Yazbeck P. 2008. ""Can femoral artery pressure monitoring be used routinely in cardiac surgery?"" , Journal of cardiothoracic and vascular anesthesia, vol.22, no.3, pp-418-22"
6722,"Yazigi A, Zeeni C, Richa F, Chalhoub V, Sleilaty G, Noun R. 2007. ""The accuracy of non-invasive nasal capnography in morbidly obese patients after bariatric surgery."" , Middle East journal of anesthesiology, vol.19, no.3, pp-483-94"
6723,"Haddad F, Zeeni C, Yazigi A, Madi-Jebara S. 2006. ""Multimodal analgesia for chest tube removal after cardiac surgery."" , Journal of cardiothoracic and vascular anesthesia, vol.20, no.5, pp-760-1"
6724,"Zeeni C, Bebawy JF, Gupta DK, Koht A. ""Neuroanesthesia in Hemorrhagic and Ischemic Stroke, 1st edition"" : Bendok, Batjer, Naidech, Walker, eds. Thieme Medical Publishers , 2009"
6725,"Zeeni C, et al. ""Loss of Somatosensory Evoked Potentials during Minimally Invasive Anterior Lumbar Interbody Fusion – Not Simply a Technical Error. "" , American Society of Neurophysiological Monitoring 20th Annual Meeting, Vancouver, Canada, 2009"
6726,"Zeeni C, et al. 2009. ""Loss of Somatosensory Evoked Potentials during Minimally Invasive Anterior Lumbar Interbody Fusion – Not Simply a Technical Error. "" , American Society of Neurophysiological Monitoring 20th Annual Meeting'"
6727,"El-Khoury J, A. Mcbride. 2009. ""Injectable Opioid Prescribing in Oxfordshire"" , Psychiatric Bulletin, vol.33, no.277"
6728,"Gharaibeh N, El-Khoury J. 2009. ""The state of health care provision and extent of mental health in the prisons of the Arab world: A literature review and commentary."" , International journal of prisoner health, vol.5, no.4, pp-241-50"
6729,"El-Khoury J, G. Gaulati. 2008. ""How to Assess and Manage the Aggressive Patient "" , The Foundation Years , vol.4, no.2, pp-62-69"
6730,"El-Khoury J., S. Bennett, H. Johnston, S. White. 2008. ""Attendance at an adult outpatient psychiatric clinic in London: A one-year retrospective study"" , Psychiatric Bulletin, vol.32, pp-473-474"
6731,"El-Khoury J., B.Gupta. 2007. ""The College and the Independent Sector"" , Psychiatric Bulletin, vol.31, pp-404-406"
6732,"El-Khoury J., C.Dillon. 2007. ""Psychiatric Care in Southwest Stockholm: the SHO perspective"" , International Psychiatry, vol.4"
6733,"El-Khoury J. 2007. ""Paperless working environment-a logistical nightmare?"" , Psychiatric Bulletin, vol.31, no.77"
6734,"Chakhtoura, M., et al. . ""Chakhtoura M, Akl EA, Arabi A, El Ghandour S, Shawwa K, El Hajj Fuleihan G. Effects of different doses of Vitamin D replacement in Middle Eastern and North African population: a systematic review and meta-analysis - Registered protocol on PROSPERO.""'"
6735,"Schnitger, A.K.D., et al. 2009. ""Two C-type lectins cooperate to defend Anopheles gambiae against Gram-negative bacteria"" , Journal of Biological Chemistry, vol.284, no.26, pp-17616-17624"
6736,"Notarnicola, C., et al. 2009. ""Characterization of new mutations in the 5′-flanking region of the familial Mediterranean fever gene"" , Genes and Immunity, vol.10, no.3, pp-273-279"
6737,"Schnitger, A.K.D., Kafatos, F.C., and Osta, M.A. 2007. ""The melanization reaction is not required for survival of Anopheles gambiae mosquitoes after bacterial infections"" , Journal of Biological Chemistry, vol.282, no.30, pp-21884-21888"
6738,"Waterhouse, R.M., et al. 2007. ""Evolutionary dynamics of immune-related genes and pathways in disease-vector mosquitoes"" , Science, vol.316, no.5832, pp-1738-1743"
6739,"Cohuet, A., et al. 2006. ""Anopheles and Plasmodium: From laboratory models to natural systems in the field"" , EMBO Reports, vol.7, no.12, pp-1285-1289"
6740,"Volz, J., et al. 2006. ""A genetic module regulates the melanization response of Anopheles to Plasmodium"" , Cellular Microbiology, vol.8, no.9, pp-1392-1405"
6741,"Volz, J., et al. 2005. ""The roles of two clip domain serine protease in innate immune responses of the malaria vector Anopheles gambiae"" , Journal of Biological Chemistry, vol.280, no.48, pp-40161-40168"
6742,"Osta, M.A., et al. 2004. ""Innate immunity in the malaria vector Anopheles gambiae: Comparative and functional genomics"" , Journal of Experimental Biology, vol.207, no.15, pp-2551-2563"
6743,"Osta, M.A., Christophides, G.K., and Kafatos, F.C. 2004. ""Effects of Mosquito Genes on Plasmodium Development"" , Science, vol.303, no.5666, pp-2030-2032"
6744,"Christophides, G.K., et al. 2002. ""Immunity-related genes and gene families in Anopheles gambiae"" , Science, vol.298, no.5591, pp-159-165"
6745,"Osta, M., et al. 2002. ""A 24 bp cis-acting element essential for the transcriptional activity of Plasmodium falciparum CDP-diacylglycerol synthase gene promoter"" , Molecular and Biochemical Parasitology, vol.121, no.1, pp-87-98"
6746,"Chamat, S., et al. 1999. ""Human monoclonal antibodies isolated from spontaneous Epstein-Barr virus-transformed tumors of Hu-SPL-SCID mice and specific for fusion protein display broad neutralizing activity toward respiratory syncytial virus"" , Journal of Infectious Diseases, vol.180, no.2, pp-268-277"
6747,"Kabakian-Khasholian, T. and Campbell, OM. 2007. ""Impact of written information on women\'s use of postpartum services: a randomised controlled trial."" , Acta obstetricia et gynecologica Scandinavica, vol.86, no.7, pp-793-8"
6748,"Sinno D, Majdalani M, Chatila R, Musharrafieh U, Al-Tannir M. 2009. ""The pattern of self-poisoning among Lebanese children and adolescents in two tertiary care centres in Lebanon."" , Acta paediatrica (Oslo, Norway : 1992), vol.98, no.6, pp-1044-8"
6749,"Sinno D, Majdalani M, Chatila R, Musharrafieh U, Al-Tannir M. 2009. ""The pattern of self-poisoning among Lebanese children and adolescents in two tertiary care centres in Lebanon."" , Acta paediatrica (Oslo, Norway : 1992), vol.98, no.6, pp-1044-8"
6750,"Arabi M, Majdalani M, Nemer G, Bitar F. 2007. ""Molecular markers of congenital heart disease"""
6751,"Nimah MM, Bshesh K, Callahan JD, Jacobs BR. 2006. ""Infrared tympanic thermometry in comparison with other temperature measurement techniques in febrile children."" , Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies, vol.7, no.1, pp-48-55"
